Date,State,Percentage,Lower Limit, Upper Limit
2013,Alabama,12.6,11.7,13.7
2013,Alaska,7.3,6.3,8.4
2013,Arizona,9.7,8.4,11.2
2013,Arkansas,10.5,9.4,11.6
2013,California,9.9,9.1,10.6
2013,Colorado,6.3,5.8,6.8
2013,Connecticut,7.3,6.7,8.1
2013,Delaware,9.9,9,10.9
2013,District of Columbia,8.4,7.5,9.4
2013,Florida,9.3,8.8,10
2013,Georgia,10.4,9.7,11.2
2013,Hawaii,7.5,6.8,8.4
2013,Idaho,7.8,7,8.7
2013,Illinois,9.2,8.3,10.2
2013,Indiana,10,9.4,10.6
2013,Iowa,8.3,7.6,9
2013,Kansas,8.8,8.4,9.2
2013,Kentucky,9.7,9,10.4
2013,Louisiana,10.8,9.8,11.9
2013,Maine,8.1,7.5,8.9
2013,Maryland,9.1,8.5,9.9
2013,Massachusetts,7.7,7.1,8.4
2013,Michigan,9.2,8.7,9.9
2013,Minnesota,6.8,6.1,7.6
2013,Mississippi,12,11.1,12.9
2013,Missouri,8.7,7.9,9.6
2013,Montana,6.7,6.1,7.3
2013,Nebraska,8.4,7.8,9
2013,Nevada,9,7.8,10.5
2013,New Hampshire,8.1,7.3,8.9
2013,New Jersey,8.2,7.6,8.8
2013,New Mexico,9.7,9,10.6
2013,New York,9.6,8.9,10.4
2013,North Carolina,10.5,9.8,11.2
2013,North Dakota,8.1,7.4,8.9
2013,Ohio,9.2,8.6,9.9
2013,Oklahoma,10.2,9.5,10.9
2013,Oregon,8.3,7.5,9.1
2013,Pennsylvania,8.7,8.1,9.3
2013,Rhode Island,8.3,7.5,9.1
2013,South Carolina,11.2,10.5,12
2013,South Dakota,8.2,7.3,9.1
2013,Tennessee,11.1,10.1,12.2
2013,Texas,10.9,10,11.7
2013,Utah,7.7,7.2,8.3
2013,Vermont,6.7,6,7.4
2013,Virginia,9.1,8.4,9.9
2013,Washington,8,7.4,8.6
2013,West Virginia,11.1,10.3,12
2013,Wisconsin,7.3,6.5,8.3
2013,Wyoming,8,7.3,8.9
2013,Guam,14.7,12.6,17.1
2013,Puerto Rico,13.7,12.7,14.7
