ID,YearStart,YearEnd,Description,LocationAbbr,LocationDesc,DataSource,Class,Topic,Question,Response,Data_Value_Unit,DataValueTypeId,Data_Value_Type,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,Sample_Size,GeoLocation_Lat,GeoLocation_Long,ClassId,TopicId,QuestionId,ResponseId,StratficationCategory1,StratificationCategoryId1,Stratification1,StratificationId1,StratificationCategory2,StratificationCategoryId2,Stratification2,StratificationId2,StratificationCategory3,StratificationCategoryId3,Stratification3,StratificationId3,LocationDisplayOrder,FootnoteSymbol,FootnoteText,URL,FootnoteHeading
625,2015,2015,2015,US,National,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,28.9,,,28.6,29.1,"398,316",,,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,0,,,,
5705,2015,2015,2015,AL,Alabama,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,35.6,,,34.1,37.2,"7,383",32.84057112,-86.63186076,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,1,,,,
9467,2015,2015,2015,AK,Alaska,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,29.8,,,27.5,32.3,"3,434",64.84507996,-147.722059,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,2,,,,
30023,2015,2015,2015,AZ,Arizona,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,28.4,,,26.9,30,"7,152",34.86597028,-111.7638113,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,4,,,,
9837,2015,2015,2015,AR,Arkansas,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,34.5,,,32.2,36.9,"4,813",34.74865012,-92.27449074,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,5,,,,
14086,2015,2015,2015,CA,California,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,24.2,,,23.2,25.2,"11,459",37.63864012,-120.9999995,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,6,,,,
17594,2015,2015,2015,CO,Colorado,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,20.2,,,19.1,21.3,"12,183",38.84384076,-106.1336109,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,8,,,,
21386,2015,2015,2015,CT,Connecticut,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,25.3,,,24.1,26.4,"10,901",41.56266102,-72.64984095,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,9,,,,
36511,2015,2015,2015,DE,Delaware,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,29.7,,,27.6,31.8,"3,688",39.00883067,-75.57774117,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,10,,,,
17616,2015,2015,2015,DC,District of Columbia,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,22.1,,,19.7,24.8,"3,654",38.89037139,-77.03196113,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,11,,,,
